HHID,HV000,HV001,HV002,HV003,HV004,HV005,HV006,HV007,HV008,HV009,HV010,HV011,HV012,HV013,HV014,HV015,HV016,HV017,HV018,HV019,HV020,HV021,HV022,HV023,HV024,HV025,HV026,HV027,HV028,HV030,HV031,HV032,HV033,HV035,HV040,HV041,HV042,HV043,HV044,HV201,HV204,HV205,HV206,HV207,HV208,HV209,HV210,HV211,HV212,HV213,HV214,HV215,HV217,HV218,HV219,HV220,HV221,HV225,HV226,HV227,HV228,HV230,HV231,HV232,HV233,HV234,SHCOMMU,SHINTER,SHLANG,SHSECTE,SHTIME,V73
90 52,RW4,90,52,1,90,1051725,9,2000,1209,6,3,2,6,6,0,1,8,1,18,89,0,90,41,1,1,2,3,1,1063863,30,28,0,6454,0, ,3, , , ,43,120,21,0,0,0,0,0,0,0,11, , ,4,1,2,45,0,0,7,0, ,2, , , ,999,19,0,1,1,5,1.051725
90 61,RW4,90,61,1,90,1051725,9,2000,1209,3,0,0,3,1,0,1,8,1,13,89,0,90,41,1,1,2,3,0,0,30,28,0,6454,0, ,0, , , ,13,60,22,0,0,0,0,0,0,0,34, , ,1,1,2,64,0,0,7,0, ,2, , , ,30,19,0,1,1,2,1.051725
90 70,RW4,90,70,2,90,1051725,9,2000,1209,7,1,0,7,7,1,1,8,1,57,89,0,90,41,1,1,2,3,0,0,30,28,0,6454,1, ,1, , , ,41,30,21,0,1,0,0,1,0,0,34, , ,4,1,1,42,0,1,7,0,3,2, , , ,30,19,0,1,1,5,1.051725
90 79,RW4,90,79,2,90,1051725,9,2000,1209,4,1,1,4,4,1,1,8,1,13,89,0,90,41,1,1,2,3,1,1063863,30,28,0,6454,1, ,1, , , ,41,60,21,0,0,0,0,0,0,0,34, , ,2,1,1,26,0,1,7,0,3,2, , , ,30,19,0,1,1,5,1.051725
90 88,RW4,90,88,1,90,1051725,9,2000,1209,3,1,0,3,3,0,1,9,1,57,89,0,90,41,1,1,2,3,0,0,30,28,0,6454,0, ,1, , , ,41,60,31,0,0,0,0,0,0,0,11, , ,1,1,2,41,0, ,7,0, ,2, , , ,30,19,0,1,1,0,1.051725
90 97,RW4,90,97,2,90,1051725,9,2000,1209,5,1,0,5,5,0,1,8,1,13,89,0,90,41,1,1,2,3,0,0,30,28,0,6454,0, ,1, , , ,41,40,21,0,0,0,0,0,0,0,11, , ,4,1,1,66,0,0,7,0, ,2, , , ,15,19,0,1,1,4,1.051725
90106,RW4,90,106,1,90,1051725,9,2000,1209,3,2,0,3,3,0,1,8,1,18,89,0,90,41,1,1,2,3,1,1063863,30,28,0,6454,0, ,2, , , ,41,120,21,0,0,0,0,0,0,0,34, , ,3,1,2,48,0,1,7,0, ,2, , , ,30,19,0,1,1,3,1.051725
90115,RW4,90,115,1,90,1051725,9,2000,1209,4,1,0,4,4,0,1,8,1,57,89,0,90,41,1,1,2,3,0,0,30,28,0,6454,0, ,1, , , ,13,30,22,0,0,0,0,0,0,0,11, , ,2,1,2,39,0,0,7,0, ,2, , , ,30,19,0,1,1,0,1.051725
90124,RW4,90,124,1,90,1051725,9,2000,1209,2,1,0,2,2,0,1,9,1,57,89,0,90,41,1,1,2,3,0,0,30,28,0,6454,0, ,1, , , ,41,60,21,0,1,0,0,0,0,0,11, , ,3,1,2,80,0,1,7,0, ,2, , , ,30,19,0,1,1,4,1.051725
90142,RW4,90,142,1,90,1051725,9,2000,1209,2,1,0,2,2,0,1,8,1,18,89,0,90,41,1,1,2,3,0,0,30,28,0,6454,0, ,1, , , ,41,60,21,0,1,0,0,0,0,0,11, , ,2,1,1,23,0,0,7,0, ,2, , , ,30,19,0,1,1,2,1.051725
90151,RW4,90,151,1,90,1051725,9,2000,1209,2,1,0,2,2,0,1,8,1,57,89,0,90,41,1,1,2,3,0,0,30,28,0,6454,0, ,1, , , ,13,60,21,0,0,0,0,0,0,0,11, , ,2,1,1,26,0,0,7,0, ,2, , , ,30,19,0,1,1,2,1.051725
90153,RW4,90,153,1,90,1051725,9,2000,1209,6,1,2,6,6,0,1,8,1,18,89,0,90,41,1,1,2,3,1,1063863,30,28,8,6454,0, ,1, , , ,41,10,21,0,1,0,0,0,0,0,11, , ,4,1,1,50,0,0,7,0, ,2, , , ,30,19,0,1,1,3,1.051725
90160,RW4,90,160,1,90,1051725,9,2000,1209,4,1,1,4,4,1,1,8,1,18,89,0,90,41,1,1,2,3,1,1063863,30,28,0,6454,0, ,1, , , ,41,20,21,0,0,0,0,0,0,0,12, , ,2,1,2,42,0,0,7,0, ,2, , , ,30,19,0,1,1,6,1.051725
90169,RW4,90,169,2,90,1051725,9,2000,1209,4,2,0,4,4,1,1,8,1,57,89,0,90,41,1,1,2,3,0,0,30,28,0,6454,1, ,2, , , ,41,120,21,0,0,0,0,0,0,0,11, , ,4,1,1,33,0,0,7,0,3,2, , , ,0,19,0,1,1,4,1.051725
90178,RW4,90,178,1,90,1051725,9,2000,1209,1,0,0,1,1,0,1,8,1,57,89,0,90,41,1,1,2,3,0,0,30,28,0,6454,0, ,0, , , ,13,30,21,0,1,0,0,0,0,0,11, , ,1,1,1,29,0,0,7,0, ,2, , , ,30,19,0,1,1,1,1.051725
91  6,RW4,91,6,0,91,0,9,2000,1209,0,0,0,0,0,0,6,5,1,6,88,0,91,42,1,1,2,3,0,0,34,35,0,6454,0, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
91 13,RW4,91,13,1,91,1051725,9,2000,1209,2,0,0,2,2,0,1,5,1,15,88,0,91,42,1,1,2,3,0,0,34,35,0,6454,0, ,0, , , ,13,30,21,0,0,0,0,0,0,0,11, , ,1,1,2,64,0,0,7,0, ,2, , , ,30,16,0,1,3,2,1.051725
91 20,RW4,91,20,1,91,1051725,9,2000,1209,1,0,1,1,1,0,1,5,1,17,88,0,91,42,1,1,2,3,1,1063863,34,35,0,6454,0, ,0, , , ,13,30,21,0,1,0,0,0,0,0,11, , ,1,1,1,19,0,0,6,0, ,2, , , ,30,16,0,1,3,0,1.051725
91 27,RW4,91,27,1,91,1051725,9,2000,1209,12,3,0,10,11,1,1,5,1,45,88,0,91,42,1,1,2,3,0,0,34,35,0,6454,1, ,3, , , ,41,60,21,0,1,0,0,0,0,0,34, , ,4,1,2,54,0,0,7,0,3,2, , , ,30,16,0,1,3,9,1.051725
91 34,RW4,91,34,2,91,1051725,9,2000,1209,2,0,0,2,2,0,1,5,1,6,88,0,91,42,1,1,2,3,0,0,34,35,0,6454,0, ,0, , , ,41,60,21,0,1,0,0,1,0,0,96, , ,3,1,1,25,0,1,6,1, ,2, , , ,15,16,0,1,3,2,1.051725
91 41,RW4,91,41,2,91,1051725,9,2000,1209,4,1,1,4,4,2,1,5,1,17,88,0,91,42,1,1,2,3,1,1063863,34,35,0,6454,2, ,1, , , ,13,5,21,0,0,0,0,0,0,0,11, , ,2,1,1,30,0,0,7,0,3,2, , , ,999,16,0,1,3,3,1.051725
91 48,RW4,91,48,1,91,1051725,9,2000,1209,4,2,0,4,4,1,1,5,1,15,88,0,91,42,1,1,2,3,0,0,34,35,0,6454,1, ,2, , , ,13,60,21,0,1,0,0,0,0,0,11, , ,4,1,2,44,0,0,7,0,3,1,0,1,1,30,16,0,1,3,3,1.051725
91 55,RW4,91,55,2,91,1051725,9,2000,1209,5,1,0,4,5,2,1,5,1,45,88,0,91,42,1,1,2,3,0,0,34,35,0,6454,2, ,1, , , ,41,15,21,0,1,0,0,1,0,0,11, , ,2,1,1,38,0,1,7,0,3,2, , , ,30,16,0,1,3,0,1.051725
91 62,RW4,91,62,3,91,1051725,9,2000,1209,3,1,1,3,3,0,1,5,1,17,88,0,91,42,1,1,2,3,1,1063863,34,35,0,6454,0, ,1, , , ,13,50,21,0,1,0,0,0,0,0,11, , ,4,1,2,56,0,0,7,0, ,2, , , ,999,16,0,1,3,6,1.051725
91 69,RW4,91,69,1,91,1051725,9,2000,1209,3,1,0,2,3,1,1,5,1,6,88,0,91,42,1,1,2,3,0,0,34,35,0,6454,1, ,1, , , ,41,40,21,0,1,0,0,0,0,0,11, , ,1,1,2,30,0,1,7,0,3,2, , , ,15,16,0,1,3,2,1.051725
