HHID,HV000,HV001,HV002,HV003,HV004,HV005,HV006,HV007,HV008,HV009,HV010,HV011,HV012,HV013,HV014,HV015,HV016,HV017,HV018,HV019,HV020,HV021,HV022,HV023,HV024,HV025,HV026,HV027,HV028,HV030,HV031,HV032,HV033,HV035,HV040,HV041,HV042,HV043,HV044,HV201,HV204,HV205,HV206,HV207,HV208,HV209,HV210,HV211,HV212,HV213,HV214,HV215,HV217,HV218,HV219,HV220,HV221,HV225,HV226,HV227,HV228,HV230,HV231,HV232,HV233,HV234,SHCOMMU,SHINTER,SHLANG,SHSECTE,SHTIME,V73
91 76,RW4,91,76,2,91,1051725,9,2000,1209,4,1,0,4,4,1,1,5,1,15,88,0,91,42,1,1,2,3,0,0,34,35,0,6454,1, ,1, , , ,13,30,21,0,0,0,0,0,0,0,11, , ,2,1,1,45,0,0,7,0,3,1,0,1,1,30,16,0,1,3,0,1.051725
91 83,RW4,91,83,0,91,0,9,2000,1209,0,0,0,0,0,0,8,5,1,17,88,0,91,42,1,1,2,3,1,0,34,35,0,6454,0, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
91 90,RW4,91,90,1,91,1051725,9,2000,1209,2,2,0,2,2,0,1,5,1,15,88,0,91,42,1,1,2,3,0,0,34,35,0,6454,0, ,2, , , ,13,40,21,0,0,0,0,0,0,0,11, , ,3,1,2,44,0,0,7,0, ,1,0,1,1,15,16,0,1,3,2,1.051725
91 97,RW4,91,97,1,91,1051725,9,2000,1209,2,1,0,2,2,1,1,5,1,6,88,0,91,42,1,1,2,3,0,0,34,35,0,6454,1, ,1, , , ,41,15,21,0,0,0,0,0,0,0,96, , ,1,1,2,27,0,0,7,0,3,2, , , ,30,16,0,1,3,2,1.051725
92  1,RW4,92,1,2,92,1051725,9,2000,1209,5,0,0,5,5,0,1,6,1,15,89,0,92,42,1,1,2,3,0,0,34,35,0,6454,0, ,0, , , ,13,120,21,0,1,0,0,0,0,0,11, , ,4,1,1,66,0,0,7,0, ,2, , , ,30,16,0,1,9,13,1.051725
92  7,RW4,92,7,1,92,1051725,9,2000,1209,5,2,0,5,5,1,1,6,1,45,89,0,92,42,1,1,2,3,0,0,34,35,0,6454,0, ,2, , , ,41,180,21,0,0,0,0,0,0,0,11, , ,3,1,2,39,0,1,7,0, ,2, , , ,7,16,0,1,9,0,1.051725
92 13,RW4,92,13,1,92,1051725,9,2000,1209,1,0,0,1,1,0,1,6,1,17,89,0,92,42,1,1,2,3,1,1063863,34,35,0,6454,0, ,0, , , ,41,90,21,0,0,0,0,0,0,0,11, , ,1,1,2,50,0,0,7,0, ,2, , , ,30,16,0,1,9,1,1.051725
92 19,RW4,92,19,2,92,1051725,9,2000,1209,4,1,0,4,4,2,1,6,1,15,89,0,92,42,1,1,2,3,0,0,34,35,0,6454,2, ,1, , , ,13,120,21,0,0,0,0,0,0,0,11, , ,2,1,1,29,0,0,7,0,3,2, , , ,15,16,0,1,9,0,1.051725
92 25,RW4,92,25,2,92,1051725,9,2000,1209,3,1,0,3,3,1,1,6,1,6,89,0,92,42,1,1,2,3,0,0,34,35,0,6454,1, ,1, , , ,41,15,21,0,0,0,0,0,0,0,11, , ,2,1,1,28,0,0,7,0,3,2, , , ,7,16,0,1,9,2,1.051725
92 31,RW4,92,31,2,92,1051725,9,2000,1209,5,1,0,5,5,1,1,6,1,17,89,0,92,42,1,1,2,3,1,1063863,34,35,0,6454,1, ,1, , , ,41,60,21,0,0,0,0,0,0,0,11, , ,3,1,2,74,0,0,7,0,3,2, , , ,30,16,0,1,9,0,1.051725
92 37,RW4,92,37,1,92,1051725,9,2000,1209,2,0,0,2,2,0,1,6,1,45,89,0,92,42,1,1,2,3,0,0,34,35,0,6454,0, ,0, , , ,41,60,21,0,0,0,0,0,0,0,11, , ,1,1,2,51,0,0,7,0, ,2, , , ,30,16,0,1,9,1,1.051725
92 43,RW4,92,43,2,92,1051725,9,2000,1209,3,1,0,3,3,1,1,6,1,6,89,0,92,42,1,1,2,3,0,0,34,35,0,6454,1, ,1, , , ,41,60,21,0,0,0,0,0,0,0,11, , ,2,1,1,26,0,0,7,0,3,2, , , ,30,16,0,1,9,0,1.051725
92 49,RW4,92,49,1,92,1051725,9,2000,1209,1,0,1,1,1,0,1,7,2,17,89,0,92,42,1,1,2,3,1,1063863,34,35,0,6454,0, ,0, , , ,41,60,21,0,0,0,0,0,0,0,11, , ,1,1,1,42,0,0,7,0, ,2, , , ,30,16,0,1,9,1,1.051725
92 55,RW4,92,55,1,92,1051725,9,2000,1209,2,1,0,1,2,0,1,6,1,15,89,0,92,42,1,1,2,3,0,0,34,35,0,6454,0, ,1, , , ,13,90,31,0,0,0,0,0,0,0,11, , ,1,1,2,26,0, ,7,0, ,2, , , ,30,16,0,1,9,0,1.051725
92 61,RW4,92,61,1,92,1051725,9,2000,1209,1,0,0,1,1,0,1,7,1,45,89,0,92,42,1,1,2,3,0,0,34,35,0,6454,0, ,0, , , ,41,60,21,0,0,0,0,0,0,0,11, , ,1,1,2,76,0,0,7,0, ,2, , , ,30,16,0,1,9,1,1.051725
92 67,RW4,92,67,2,92,1051725,9,2000,1209,2,0,1,2,2,0,1,6,1,17,89,0,92,42,1,1,2,3,1,1063863,34,35,0,6454,0, ,0, , , ,41,90,21,0,0,0,0,0,0,0,11, , ,2,1,2,56,0,0,6,0, ,2, , , ,30,16,0,1,9,1,1.051725
92 73,RW4,92,73,2,92,1051725,9,2000,1209,6,2,0,6,6,1,1,7,1,6,89,0,92,42,1,1,2,3,0,0,34,35,0,6454,0, ,2, , , ,41,20,21,0,0,0,0,0,0,0,11, , ,4,1,1,49,0,0,7,0, ,2, , , ,999,16,0,1,9,3,1.051725
92 79,RW4,92,79,1,92,1051725,9,2000,1209,9,3,0,6,8,0,1,7,1,15,89,0,92,42,1,1,2,3,0,0,34,35,0,6454,2, ,3, , , ,13,180,21,0,0,0,0,1,0,0,34, , ,4,1,2,48,0,0,7,0,3,1,0,1,1,15,16,0,1,9,0,1.051725
92 85,RW4,92,85,1,92,1051725,9,2000,1209,1,0,0,1,1,0,1,6,1,45,89,0,92,42,1,1,2,3,1,1063863,34,35,0,6454,0, ,0, , , ,13,120,21,0,0,0,0,0,0,0,11, , ,1,1,2,67,0,0,7,0, ,2, , , ,30,16,0,1,9,2,1.051725
92 91,RW4,92,91,1,92,1051725,9,2000,1209,2,1,0,2,2,0,1,6,1,45,89,0,92,42,1,1,2,3,0,0,34,35,0,6454,0, ,1, , , ,41,60,21,0,0,0,0,0,0,0,11, , ,1,1,2,35,0,0,7,0, ,2, , , ,15,16,0,1,9,2,1.051725
92 97,RW4,92,97,1,92,1051725,9,2000,1209,2,1,0,2,2,0,1,7,1,45,89,0,92,42,1,1,2,3,0,0,34,35,0,6454,0, ,1, , , ,41,50,21,0,0,0,0,0,0,0,11, , ,3,1,2,52,0,0,7,0, ,2, , , ,30,16,0,1,9,0,1.051725
92103,RW4,92,103,0,92,0,9,2000,1209,0,0,0,0,0,0,6,7,2,15,89,0,92,42,1,1,2,3,0,0,34,35,0,6454,0, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
92109,RW4,92,109,1,92,1051725,9,2000,1209,3,1,0,3,3,1,1,6,1,15,89,0,92,42,1,1,2,3,0,0,34,35,0,6454,1, ,1, , , ,13,120,21,0,0,0,0,0,0,0,11, , ,1,1,2,28,0,0,7,0,3,2, , , ,15,16,0,1,9,2,1.051725
92115,RW4,92,115,1,92,1051725,9,2000,1209,3,0,0,3,2,0,1,5,1,17,89,0,92,42,1,1,2,3,0,0,34,35,0,6454,0, ,0, , , ,41,50,21,0,0,0,0,0,0,0,11, , ,4,1,1,65,0,0,7,0, ,2, , , ,30,16,0,1,9,1,1.051725
92121,RW4,92,121,1,92,1051725,9,2000,1209,7,1,1,7,7,1,1,6,1,17,89,0,92,42,1,1,2,3,1,1063863,34,35,0,6454,1, ,1, , , ,41,90,21,0,0,0,0,0,0,0,11, , ,2,1,1,43,0,0,7,0,3,2, , , ,30,16,0,1,9,0,1.051725
92127,RW4,92,127,1,92,1051725,9,2000,1209,4,0,0,4,2,2,1,7,2,45,89,0,92,42,1,1,2,3,0,0,34,35,0,6454,1, ,1, , , ,41,30,21,0,0,0,0,0,0,0,11, , ,2,1,1,40,0,0,7,0, ,2, , , ,15,16,0,1,9,0,1.051725
92133,RW4,92,133,1,92,1051725,9,2000,1209,3,1,0,3,3,1,1,6,1,15,89,0,92,42,1,1,2,3,0,0,34,35,0,6454,1, ,1, , , ,13,60,21,0,0,0,0,0,0,0,11, , ,1,1,2,40,0,0,7,0,3,2, , , ,30,16,0,1,9,2,1.051725
92138,RW4,92,138,2,92,1051725,9,2000,1209,2,1,1,2,2,0,1,6,1,17,89,0,92,42,1,1,2,3,1,1063863,34,35,0,6454,0, ,1, , , ,41,60,21,0,0,0,0,0,0,0,11, , ,2,1,1,53,0,0,7,0, ,2, , , ,30,16,0,1,9,2,1.051725
92145,RW4,92,145,2,92,1051725,9,2000,1209,6,1,0,6,5,1,1,6,1,6,89,0,92,42,1,1,2,3,0,0,34,35,0,6454,1, ,1, , , ,41,120,21,0,0,0,0,0,0,0,11, , ,2,1,1,40,0,0,7,0,3,2, , , ,15,16,0,1,9,3,1.051725
92151,RW4,92,151,1,92,1051725,9,2000,1209,4,1,0,4,4,0,1,7,1,45,89,0,92,42,1,1,2,3,0,0,34,35,0,6454,0, ,1, , , ,41,60,21,0,0,0,0,0,0,0,11, , ,2,1,2,41,0,1,7,0, ,2, , , ,30,16,0,1,9,0,1.051725
92157,RW4,92,157,3,92,1051725,9,2000,1209,8,2,2,8,7,0,1,6,1,17,89,0,92,42,1,1,2,3,1,1063863,34,35,0,6454,0, ,2, , , ,41,19,21,0,0,0,0,1,0,0,11, , ,4,1,1,50,0,0,7,0, ,2, , , ,30,16,0,1,9,0,1.051725
93 10,RW4,93,10,0,93,0,9,2000,1209,0,0,0,0,0,0,6,4,1,9,83,0,93,43,1,1,2,3,0,0,52,58,0,6454,0, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
