HHID,HV000,HV001,HV002,HV003,HV004,HV005,HV006,HV007,HV008,HV009,HV010,HV011,HV012,HV013,HV014,HV015,HV016,HV017,HV018,HV019,HV020,HV021,HV022,HV023,HV024,HV025,HV026,HV027,HV028,HV030,HV031,HV032,HV033,HV035,HV040,HV041,HV042,HV043,HV044,HV201,HV202,HV204,HV205,HV206,HV207,HV208,HV209,HV210,HV211,HV212,HV213,HV214,HV215,HV216,HV217,HV218,HV219,HV220,HV221,HV225,HV226,HV227,HV228,HV234,HV235,HV236,HV237,HV237A,HV237B,HV237C,HV237D,HV237E,HV237F,HV237G,HV237H,HV237I,HV237J,HV237K,HV237X,HV237Z,HV238,HV239,HV240,HV241,HV242,HV243A,HV243B,HV243C,HV243D,HV244,HV245,HV246,HV246A,HV246B,HV246C,HV246D,HV246E,HV246F,HV246G,HV246H,HV246I,HV246J,HV246K,HV247,HV248,HV249,HV250,HV251,HV270,HV271,HML1,HML1A,HML2,SH108AA,SH108BA,SH108BB,SH108BC,SH108BD,SH108BX,SH108C1,SH108C2,SH108E,SHREGION,SHDISTRICT,V126
2 1,RW5,2,1,1,2,544059,2,2008,1298,4,1,1,3,4,1,1,15,1,801,1,0,2,1,1,1,1,0,1,544059,906,904,2, , ,1374, ,1, , ,13, ,20,21,1,1,0,0,0,0,0,34, , , ,4,1,1,58,0,1,6,1,1, , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,5,217484,3,3,2,0, , , , , , , ,0,1,1,.544059
2 2,RW5,2,2,2,2,544059,2,2008,1298,4,2,1,4,4,1,1,15,1,801,1,0,2,1,1,1,1,0,1,544059,906,904,2, , ,1374, ,1, , ,13, ,10,22,0,1,0,0,0,0,0,11, , , ,3,1,2,43,0,1,96,0, , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , ,5,50014,0,0,0,1,1,0,0,0,0,3,1,1,1,1,.544059
2 3,RW5,2,3,1,2,544059,2,2008,1298,2,0,2,2,2,0,1,15,1,905,1,0,2,1,1,1,1,0,1,544059,906,904,2, , ,1374, ,1, , ,12, ,996,21,1,1,1,0,0,1,0,34, , , ,5,1,1,26,0,1,6,1,1, , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,5,373582,2,2,1,0, , , , , , , ,0,1,1,.544059
2 4,RW5,2,4,2,2,544059,2,2008,1298,2,1,1,2,2,0,1,14,1,801,1,0,2,1,1,1,1,0,1,544059,906,904,2, , ,1374, ,1, , ,12, ,996,11,1,1,1,0,0,0,0,34, , , ,5,1,2,32,0,0,6,1, , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , ,5,384569,1,1,0,1,1,0,0,0,0,2,0,1,1,1,.544059
2 5,RW5,2,5,2,2,544059,2,2008,1298,10,1,3,7,9,0,1,14,1,801,1,0,2,1,1,1,1,0,1,544059,906,904,2, , ,1374, ,1, , ,12, ,996,22,0,1,0,0,0,0,0,11, , , ,2,1,1,28,0,1,6,0, , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , ,5,119224,0,0,0,1,0,1,0,0,0, , ,1,1,1,.544059
2 6,RW5,2,6,1,2,544059,2,2008,1298,3,2,0,3,3,0,1,15,1,801,1,0,2,1,1,1,1,0,1,544059,906,904,2, , ,1374, ,1, , ,12, ,996,21,1,1,1,0,0,0,0,34, , , ,5,1,1,39,0,0,6,1,0, , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,5,316012,2,2,0,1,1,0,0,0,0,3,0,0,1,1,.544059
2 7,RW5,2,7,1,2,544059,2,2008,1298,5,2,2,5,5,1,1,14,1,801,1,0,2,1,1,1,1,0,1,544059,906,904,2, , ,1374, ,1, , ,13, ,15,21,0,1,0,0,0,0,0,34, , , ,4,1,2,31,1,0,6,1, , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,5,145930,3,3,0,1,1,0,0,0,0,4,1,1,1,1,.544059
2 8,RW5,2,8,1,2,544059,2,2008,1298,3,2,1,3,3,0,1,14,1,801,1,0,2,1,1,1,1,0,1,544059,906,904,2, , ,1374, ,1, , ,13, ,5,21,1,0,0,0,0,0,0,34, , , ,5,1,2,21,0,1,6,0, , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , ,5,206105,0,0,0,1,0,0,0,1,0, , ,0,1,1,.544059
2 9,RW5,2,9,2,2,544059,2,2008,1298,2,1,1,2,2,0,1,14,1,801,1,0,2,1,1,1,1,0,1,544059,906,904,2, , ,1374, ,1, , ,13, ,10,21,1,1,0,0,0,0,0,34, , , ,1,1,1,31,1,1,6,0, , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,5,217484,0,0,0,0, , , , , , , ,1,1,1,.544059
210,RW5,2,10,2,2,544059,2,2008,1298,8,2,3,8,8,1,1,14,1,801,1,0,2,1,1,1,1,0,1,544059,906,904,2, , ,1374, ,1, , ,12, ,996,21,1,1,1,0,0,0,0,34, , , ,5,1,1,26,0,0,6,1,1, , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,5,316012,2,2,1,1,1,0,0,0,0,8,1,1,1,1,.544059
211,RW5,2,11,1,2,544059,2,2008,1298,5,2,1,5,5,1,1,14,1,132,1,0,2,1,1,1,1,0,1,544059,906,904,2, , ,1374, ,1, , ,12, ,996,21,1,1,1,0,0,0,0,34, , , ,1,1,1,26,1,1,6,1, , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,5,333262,1,1,0,1,1,0,0,0,0,2,0,1,1,1,.544059
