HHID,PID,HV101,HV102,HV103,HV104,HV105,HV106,HV107,HV108,HV109,HV110,HV111,HV112,HV113,HV114,HV115,HV116,HV117,HV118,SH9A,SH11,SH12
1115,1,1,1,1,1,37,1,6,6,1,0, , , , , , ,0,1,2,1,1
1115,2,2,1,1,2,39,0, ,0,0,0, , , , , , ,1,0, ,1,1
1115,3,3,1,1,1,17,1,8,8,2,0, , , , , , ,0,0,2,1,1
1115,4,3,1,1,1,14,1,5,5,1,1,1, ,1, , , ,0,0,1,1,1
1115,5,3,1,1,1,12,1,4,4,1,1,1, ,1, , , ,0,0,1,1,1
1115,6,3,1,1,2,6,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
1115,7,3,1,1,2,4,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
1115,8,3,1,1,2,0,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
1116,1,1,1,1,1,56,1,3,3,1,0, , , , , , ,0,0,1,0,0
1116,2,2,1,1,2,54,0, ,0,0,0, , , , , , ,0,0, ,0,1
1116,3,3,1,1,1,25,1,8,8,2,0, , , , , , ,0,0,2,1,1
1116,4,3,1,1,2,20,1,8,8,2,0, , , , , , ,1,0,2,1,1
1116,5,3,1,1,2,17,1,2,2,1,0, , , , , , ,1,0,1,1,1
1118,1,1,1,1,1,28,1,6,6,1,0, , , , , , ,0,0,2,1,0
1118,2,2,1,1,2,20,1,8,8,2,0, , , , , , ,1,0,2,1,1
1119,1,1,1,1,2,59,0, ,0,0,0, , , , , , ,0,0, ,0,0
1119,2,3,1,1,2,22,1,7,7,1,0, , , , , , ,1,0,1,1,0
1119,3,5,1,1,2,9,1,0,0,1,1,1, ,1, , , ,0,0,1,1,1
1121,1,1,1,1,1,20,0, ,0,0,0, , , , , , ,0,0, ,0,0
1121,2,2,1,1,2,21,0, ,0,0,0, , , , , , ,1,0, ,1,1
1121,3,3,1,1,2,0,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
1122,1,1,1,1,2,42,0, ,0,0,0, , , , , , ,1,0, ,1,0
1122,2,3,1,1,2,21,0, ,0,0,0, , , , , , ,1,0, ,1,8
1122,3,3,1,1,2,8,1,2,2,1,1,1, ,8, , , ,0,0,1,1,8
1124,1,1,1,1,1,40,0, ,0,0,0, , , , , , ,0,0, ,0,1
1124,2,2,1,1,2,37,0, ,0,0,0, , , , , , ,1,0, ,0,0
1124,3,3,1,1,1,14,1,5,5,1,0,1, ,1, , , ,0,0,1,1,1
1124,4,3,1,1,2,12,1,3,3,1,1,1, ,1, , , ,0,0,1,1,1
1124,5,3,1,1,1,8,1,0,0,1,0,1, ,1, , , ,0,0,1,1,1
1124,6,3,1,1,2,4,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
1125,1,1,1,1,1,61,1,3,3,1,0, , , , , , ,0,0,1,0,1
1125,2,2,1,1,2,59,1,2,2,1,0, , , , , , ,0,0,1,0,0
1125,3,3,1,1,1,23,1,1,1,1,0, , , , , , ,0,0,1,1,1
1125,4,5,1,1,1,20,1,3,3,1,0, , , , , , ,0,0,1,1,1
2  5,1,1,1,1,1,45,1,3,3,1,0, , , , , , ,0,0,1,1,1
2  5,2,2,1,1,2,30,0, ,0,0,0, , , , , , ,1,0, ,1,1
2  5,3,3,1,1,2,16,1,3,3,1,0, , , , , , ,1,0,1,1,1
2  5,4,3,1,1,2,1,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
2  8,1,1,1,1,1,22,0, ,0,0,0, , , , , , ,0,0, ,1,1
2  8,2,2,1,1,2,21,0, ,0,0,0, , , , , , ,1,0, ,1,1
2  8,3,3,1,1,1,1,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
2 10,1,1,1,1,1,40,1,2,2,1,0, , , , , , ,0,0,1,1,1
2 10,2,2,1,1,2,39,1,2,2,1,0, , , , , , ,1,0,1,1,1
2 10,3,3,1,1,1,11,1,3,3,1,1,1, ,1, , , ,0,0,1,1,1
2 10,4,3,1,1,2,8,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
2 10,5,3,1,1,2,4,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
2 10,6,3,1,1,1,2,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
2 10,7,12,0,1,2,71,8, ,98,8,0, , , , , , ,0,0, ,0,0
2 10,8,12,0,1,1,17,1,6,6,1,1, , , , , , ,0,0,1,0,1
2 10,9,12,0,1,2,20,8, ,98,8,0, , , , , , ,1,0, ,0,1
2 10,10,12,0,1,2,2,0, ,0,0,0,1, ,1, , , ,0,0, ,1,1
