HHID,HV000,HV001,HV002,PID,HV004,HV005,HV006,HV007,HV008,HV009,HV010,HV011,HV012,HV013,HV014,HV015,HV016,HV017,HV018,HV019,HV020,HV021,HV022,HV023,HV024,HV025,HV026,HV027,HV028,HV201,HV202,HV203,HV204,HV205,HV206,HV207,HV208,HV209,HV210,HV211,HV212,HV213,HV214,HV215,HV216,HV217,HV218,HV219,HV220,SHPREF,SHCOMMNE,SHSECTOR,V54
2 70,RW2,2,70,0,121,1126893,6,92,1110,5,1,0,5,5,2,1,22,1,54,8,0,121,34,2,2,2,3,0,0,12,12,1,20,23,0,0, ,0,0,0,0,11, , ,1,1,1,2,32,11,3,3,1.126893
2 72,RW2,2,72,0,121,1126893,6,92,1110,5,1,0,5,5,0,1,22,1,56,8,0,121,34,2,2,2,3,0,0,12,12,1,10,23,0,0, ,0,0,0,0,11, , ,1,4,1,1,55,11,3,3,1.126893
2 75,RW2,2,75,0,121,1126893,6,92,1110,10,1,1,10,10,3,1,22,1,53,8,0,121,34,2,2,2,3,2,1126893,12,12,1,2,23,0,0, ,0,0,0,0,11, , ,3,4,1,1,47,11,3,3,1.126893
2 77,RW2,2,77,0,121,1126893,6,92,1110,4,1,0,4,4,1,1,23,2,53,8,0,121,34,2,2,2,3,0,0,12,12,1,4,23,0,0, ,0,0,0,0,11, , ,2,2,1,2,40,11,3,3,1.126893
2 80,RW2,2,80,0,121,1126893,6,92,1110,2,1,0,2,2,0,1,22,1,54,8,0,121,34,2,2,2,3,0,0,12,12,1,996,23,0,0, ,0,0,0,0,11, , ,1,2,1,1,25,11,3,3,1.126893
2 82,RW2,2,82,0,121,1126893,6,92,1110,12,1,0,12,12,3,1,23,1,57,8,0,121,34,2,2,2,3,0,0,12,12,1,15,23,0,0, ,0,0,0,0,11, , ,3,4,1,1,45,11,3,3,1.126893
2 85,RW2,2,85,0,121,1126893,6,92,1110,7,0,0,6,7,0,1,22,1,55,8,0,121,34,2,2,2,3,0,0,13,13,1, ,23,0,1, ,0,0,0,0,11, , ,3,4,1,1,59,11,3,3,1.126893
2 87,RW2,2,87,0,121,1126893,6,92,1110,2,1,1,1,2,0,1,22,1,53,8,0,121,34,2,2,2,3,2,1126893,12,12,1,2,31,0,0, ,0,0,0,0,11, , ,1,1,1,1,21,11,3,3,1.126893
2 90,RW2,2,90,0,121,1126893,6,92,1110,16,2,0,5,16,0,1,22,1,54,8,0,121,34,2,2,2,3,0,0,12,12,1,10,23,0,1, ,0,0,0,0,11, , ,4,4,1,1,66,11,3,3,1.126893
2 92,RW2,2,92,0,121,1126893,6,92,1110,8,2,0,8,8,0,1,22,1,56,8,0,121,34,2,2,2,3,0,0,12,12,1,10,23,0,0, ,0,0,0,0,11, , ,3,4,1,1,55,11,3,3,1.126893
