fw101,fw000,fw102,fw103,fw104,fw105,fw106,fw107,fw108,fw109,fw110,fw111,fw112,fw113a,fw113b,fw113c,fw113d,fw113e,fw113f,fw113g,fw113h,fw113i,fw113j,fw113k,fw113l,fw113m,fw113x,fw113y,fw114,fw115,fw116,fw117,fw118
1506,RW7,4,2,25,1,6,0,2,3,4,4,,A,,C,D,,,,,,,,,,,,1,2,2,3,
1507,RW7,4,2,34,2,1,2,2,3,4,1,,A,,C,,,,,,,,,,,,,1,2,2,3,
1501,RW7,4,2,36,2,1,3,2,3,3,3,,A,B,C,,,,,,,,,,,,,1,2,1,3,
1505,RW7,1,1,28,1,6,0,2,3,3,2,,A,B,C,D,,,,,,,,,,,,1,2,2,3,
1503,RW7,1,1,26,2,6,0,2,3,3,2,,A,B,C,,,,,,,,,,,,,1,2,2,3,
1500,RW7,1,1,42,1,1,1,2,3,4,1,,A,B,C,D,,,,,,,,,,,,1,1,1,3,
1504,RW7,5,2,26,1,6,0,2,3,4,1,,A,B,C,,,,,,,,,,,,,1,2,1,3,
203,RW7,1,1,39,2,1,6,2,3,4,2,,A,B,C,D,,,,,,,,,,,,1,1,1,3,
204,RW7,3,3,51,1,1,7,2,3,4,3,,A,B,C,,,,,,,,,,,,,1,1,1,3,
202,RW7,1,1,35,2,1,3,2,3,3,6,,A,B,C,,,,,,,,,,,,,1,2,1,3,
200,RW7,2,2,25,1,6,0,2,3,3,2,,A,B,C,,,,,,,,,,,,,1,2,1,3,
206,RW7,1,1,29,2,6,0,2,3,4,2,,A,B,C,,,,,,,,,,,,,1,2,2,3,
205,RW7,1,1,34,1,6,0,2,3,4,1,,A,B,C,,,,,,,,,,,,,1,2,1,3,
201,RW7,4,2,40,2,1,5,2,3,4,1,,A,B,,D,,,,,,,,,,,,1,2,2,3,
207,RW7,4,3,32,2,1,1,2,3,4,1,,A,B,C,,,,,,,,,,,,,1,2,2,3,
1007,RW7,2,2,25,2,6,0,2,3,4,1,,A,B,C,,,,,,,,,,,,,1,2,1,3,
1001,RW7,1,1,28,2,6,0,2,3,4,1,,A,B,C,,,,,,,,,,,,,1,1,1,3,
1000,RW7,1,1,50,1,1,3,2,3,4,1,,A,B,C,D,,,,,,,,,,,,1,1,1,3,
1005,RW7,4,2,29,1,6,0,2,3,4,1,,A,B,C,,,,,,,,,,,,,1,2,2,3,
1003,RW7,4,3,24,2,6,0,2,3,3,2,,A,B,C,,,,,,,,,,,,,1,2,2,3,
1004,RW7,4,3,42,1,6,0,2,3,4,1,,A,B,C,,,,,,,,,,,,,1,1,1,3,
1002,RW7,3,2,29,2,1,2,2,3,3,2,,A,B,C,D,,,,,,,,,,,,1,2,2,1,2.0
1006,RW7,3,3,24,1,6,0,2,3,3,2,,A,B,C,D,,,,,,,,,,,,1,2,1,3,
402,RW7,3,3,32,2,6,0,2,3,3,1,,A,B,C,,,,,,,,,,,,,1,2,2,3,
404,RW7,1,1,43,1,1,2,2,3,4,1,,A,B,C,D,,,,,,,,,,,,1,2,2,3,
406,RW7,1,1,28,1,2,1,2,3,3,6,,A,B,C,D,,,,,,,,,,,,1,2,1,3,
403,RW7,2,2,32,2,1,2,2,3,4,3,,A,B,C,,,,,,,,,,,,,1,1,1,3,
407,RW7,1,1,26,1,6,0,2,3,4,1,,A,B,C,,,,,,,,,,,,,1,2,1,3,
1403,RW7,1,1,35,2,1,2,2,3,4,1,,A,B,C,,,,,,,,,,,,,1,2,1,3,
1401,RW7,1,1,49,2,1,3,1,3,4,2,,A,B,,D,,,,,,,,,,,,1,2,1,3,
1407,RW7,3,3,27,2,6,0,2,3,4,1,,A,B,C,,,,,,,,,,,,,1,2,2,3,
1406,RW7,5,2,27,2,1,1,2,3,4,2,,A,B,C,,,,,,,,,,,,,1,2,2,3,
1400,RW7,2,3,40,2,1,1,2,3,5,2,,A,B,C,D,,,,,,,,,,,,1,1,1,3,
1405,RW7,1,1,32,1,1,1,2,3,6,7,,A,B,C,D,,,,,,,,,,,,1,1,1,3,
1402,RW7,3,2,32,2,2,2,2,3,3,1,,A,B,,,,,,,,,,,,,,1,2,2,3,
405,RW7,3,3,29,2,1,0,2,3,4,1,,A,B,C,,,,,,,,,,,,,1,2,2,3,
208,RW7,4,3,32,2,1,1,1,3,5,1,,A,B,C,,,,,,,,,,,,,1,1,2,2,2.0
408,RW7,3,3,34,1,1,2,2,3,4,3,,A,B,C,,,,,,,,,,,,,1,2,2,2,2.0
1208,RW7,1,1,40,1,1,2,2,3,5,1,,A,B,C,,,,,,,,,,,,,1,2,2,2,2.0
